,lat,lon,spatial_ref,amplitude,lst_morning,lst_evening,_sumsum,building_area,_ndvisum,ndvi_area,geometry
0,48.65763666760939,1.6416818209678232,0,12.40725090357833,33.492164321142695,21.652475543309322,0.0,0,2341.0,234100,"POLYGON ((1.646673220521833 48.652675260608845, 1.646673220521833 48.66259807460993, 1.636690421413814 48.66259807460993, 1.636690421413814 48.652675260608845, 1.646673220521833 48.652675260608845))"
1,48.65763666760939,1.651664620075842,0,12.186270752789255,32.943164350362224,21.439437989488624,0.0,0,4448.0,444800,"POLYGON ((1.656656019629851 48.652675260608845, 1.656656019629851 48.66259807460993, 1.646673220521833 48.66259807460993, 1.646673220521833 48.652675260608845, 1.656656019629851 48.652675260608845))"
2,48.65763666760939,1.6616474191838608,0,13.044615597762032,32.725155872832374,20.183486819240784,32.0,3200,4010.0,401000,"POLYGON ((1.66663881873787 48.652675260608845, 1.66663881873787 48.66259807460993, 1.656656019629851 48.66259807460993, 1.656656019629851 48.652675260608845, 1.66663881873787 48.652675260608845))"
3,48.65763666760939,1.6716302182918794,0,15.113326897057448,33.9150210784843,19.241570985665874,0.0,0,3499.0,349900,"POLYGON ((1.676621617845889 48.652675260608845, 1.676621617845889 48.66259807460993, 1.66663881873787 48.66259807460993, 1.66663881873787 48.652675260608845, 1.676621617845889 48.652675260608845))"
4,48.65763666760939,1.6816130173998982,0,15.992868718784393,35.30649284082614,19.759231167141422,3.0,300,980.0,98000,"POLYGON ((1.686604416953908 48.652675260608845, 1.686604416953908 48.66259807460993, 1.676621617845889 48.66259807460993, 1.676621617845889 48.652675260608845, 1.686604416953908 48.652675260608845))"
5,48.65763666760939,1.691595816507917,0,15.372320834054577,35.04397755176433,20.133293148126313,22.0,2200,2567.0,256700,"POLYGON ((1.696587216061926 48.652675260608845, 1.696587216061926 48.66259807460993, 1.686604416953908 48.66259807460993, 1.686604416953908 48.652675260608845, 1.696587216061926 48.652675260608845))"
6,48.65763666760939,1.7015786156159358,0,14.067706288193023,33.96021728529047,20.346031492650013,14.0,1400,3714.0,371400,"POLYGON ((1.706570015169945 48.652675260608845, 1.706570015169945 48.66259807460993, 1.696587216061926 48.66259807460993, 1.696587216061926 48.652675260608845, 1.706570015169945 48.652675260608845))"
7,48.65763666760939,1.7115614147239546,0,12.407821385446908,32.43057627240614,20.50213064928562,14.0,1400,3341.0,334100,"POLYGON ((1.716552814277964 48.652675260608845, 1.716552814277964 48.66259807460993, 1.706570015169945 48.66259807460993, 1.706570015169945 48.652675260608845, 1.716552814277964 48.652675260608845))"
8,48.65763666760939,1.7215442138319734,0,11.727577587649265,31.79073175566623,20.558256890015855,0.0,0,3803.0,380300,"POLYGON ((1.726535613385983 48.652675260608845, 1.726535613385983 48.66259807460993, 1.716552814277964 48.66259807460993, 1.716552814277964 48.652675260608845, 1.726535613385983 48.652675260608845))"
9,48.65763666760939,1.731527012939992,0,11.013570066006537,31.334701442338428,21.060150461296814,0.0,0,3719.0,371900,"POLYGON ((1.736518412494001 48.652675260608845, 1.736518412494001 48.66259807460993, 1.726535613385983 48.66259807460993, 1.726535613385983 48.652675260608845, 1.736518412494001 48.652675260608845))"
